ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Gender_Male,Married_Yes,Dependents_1,Dependents_2,Dependents_3+,Education_Not Graduate,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,actual_loan_status,approval_probability,approval_score,approval_band,decision
9083,0.0,228.0,360.0,1.0,True,True,False,False,False,False,False,True,False,True,0.81,81.0,Highly Likely Approved,Approve
4310,0.0,130.0,360.0,0.8421985815602837,True,True,False,False,False,False,False,True,False,True,0.82,82.0,Highly Likely Approved,Approve
4167,1447.0,158.0,360.0,1.0,True,True,False,True,False,False,False,False,False,True,0.755,75.5,Highly Likely Approved,Approve
2900,0.0,71.0,360.0,1.0,False,False,False,False,False,False,False,False,False,True,0.62,62.0,Moderately Likely Approved,Manual Review
2718,0.0,70.0,360.0,1.0,True,False,False,False,False,False,False,True,False,True,0.93,93.0,Highly Likely Approved,Approve
1782,2232.0,107.0,360.0,1.0,True,True,True,False,False,False,False,False,False,True,0.71,71.0,Moderately Likely Approved,Manual Review
3717,0.0,120.0,360.0,1.0,True,True,False,True,False,False,False,True,False,True,0.98,98.0,Highly Likely Approved,Approve
3000,0.0,66.0,360.0,1.0,True,True,False,False,False,False,True,False,True,True,0.685,68.5,Moderately Likely Approved,Manual Review
2647,1587.0,173.0,360.0,1.0,True,True,False,False,True,True,False,False,False,False,0.77,77.0,Highly Likely Approved,Approve
1000,3022.0,110.0,360.0,1.0,True,True,True,False,False,False,True,False,True,False,0.55,55.0,Moderately Likely Approved,Manual Review
5000,0.0,72.0,360.0,0.0,True,True,False,True,False,False,False,True,False,False,0.3,30.0,Low Approval Chance,Reject
3015,2188.0,153.0,360.0,1.0,True,True,False,False,False,False,False,False,False,True,0.79,79.0,Highly Likely Approved,Approve
2071,754.0,94.0,480.0,1.0,True,True,False,False,True,True,False,True,False,True,0.64,64.0,Moderately Likely Approved,Manual Review
3601,1590.0,146.41216216216216,360.0,1.0,True,True,False,True,False,True,False,False,False,True,0.675,67.5,Moderately Likely Approved,Manual Review
3316,3500.0,88.0,360.0,1.0,True,True,False,True,False,False,True,False,True,True,0.85,85.0,Highly Likely Approved,Approve
3013,3033.0,95.0,300.0,0.8421985815602837,True,True,False,False,False,False,False,False,True,True,0.89,89.0,Highly Likely Approved,Approve
2479,0.0,59.0,360.0,1.0,True,False,False,False,False,False,False,False,True,True,0.75,75.0,Highly Likely Approved,Approve
4843,3806.0,151.0,360.0,1.0,True,False,False,False,False,False,False,True,False,True,0.745,74.5,Moderately Likely Approved,Manual Review
3155,1779.0,140.0,360.0,1.0,True,True,True,False,False,False,False,True,False,True,0.805,80.5,Highly Likely Approved,Approve
4600,0.0,73.0,180.0,1.0,True,True,False,False,False,False,False,True,False,True,0.855,85.5,Highly Likely Approved,Approve
2213,1125.0,146.41216216216216,360.0,1.0,True,True,False,False,False,False,False,False,True,True,0.73,73.0,Moderately Likely Approved,Manual Review
5000,3667.0,236.0,360.0,1.0,True,True,False,True,False,False,False,True,False,True,0.945,94.5,Highly Likely Approved,Approve
4758,0.0,158.0,480.0,1.0,True,True,False,False,False,False,False,True,False,True,0.365,36.5,Low Approval Chance,Reject
6875,0.0,200.0,360.0,1.0,True,True,True,False,False,False,False,True,False,True,0.76,76.0,Highly Likely Approved,Approve
13262,0.0,40.0,360.0,1.0,False,False,True,False,False,False,False,False,True,True,0.71,71.0,Moderately Likely Approved,Manual Review
8333,3750.0,187.0,360.0,1.0,True,False,False,False,False,False,False,False,False,True,0.64,64.0,Moderately Likely Approved,Manual Review
1958,2436.0,131.0,360.0,1.0,True,True,True,False,False,True,False,False,False,True,0.665,66.5,Moderately Likely Approved,Manual Review
3418,0.0,127.0,360.0,1.0,True,False,False,False,False,False,False,True,False,False,0.905,90.5,Highly Likely Approved,Approve
3813,0.0,116.0,180.0,1.0,False,False,False,False,False,False,False,False,True,True,0.745,74.5,Moderately Likely Approved,Manual Review
4106,0.0,40.0,180.0,1.0,True,True,False,False,True,False,False,False,False,True,0.66,66.0,Moderately Likely Approved,Manual Review
3200,700.0,70.0,360.0,1.0,True,True,False,True,False,False,False,False,True,True,0.765,76.5,Highly Likely Approved,Approve
2330,4486.0,100.0,360.0,1.0,False,True,False,False,False,False,False,True,False,True,0.945,94.5,Highly Likely Approved,Approve
2875,1750.0,105.0,360.0,1.0,True,True,False,False,False,True,False,True,False,True,0.975,97.5,Highly Likely Approved,Approve
3229,2739.0,110.0,360.0,1.0,True,False,False,False,False,False,False,False,True,True,0.785,78.5,Highly Likely Approved,Approve
10000,1666.0,225.0,360.0,1.0,False,False,False,False,False,False,False,False,False,False,0.77,77.0,Highly Likely Approved,Approve
6096,0.0,218.0,360.0,0.0,True,True,False,False,False,True,False,False,False,False,0.2,20.0,Low Approval Chance,Reject
3708,2569.0,173.0,360.0,1.0,True,True,False,False,False,False,False,False,True,False,0.885,88.5,Highly Likely Approved,Approve
5703,0.0,128.0,360.0,1.0,True,True,False,False,True,False,False,False,True,True,0.955,95.5,Highly Likely Approved,Approve
2708,1167.0,97.0,360.0,1.0,True,True,False,True,False,False,False,True,False,True,0.96,96.0,Highly Likely Approved,Approve
1378,1881.0,167.0,360.0,1.0,False,True,False,True,False,False,False,False,True,False,0.595,59.5,Moderately Likely Approved,Manual Review
5316,0.0,136.0,360.0,1.0,True,False,False,False,False,False,False,False,True,True,0.95,95.0,Highly Likely Approved,Approve
2239,2524.0,128.0,360.0,1.0,True,True,True,False,False,True,False,False,True,True,0.72,72.0,Moderately Likely Approved,Manual Review
10000,0.0,155.0,360.0,1.0,True,True,True,False,False,False,True,False,False,False,0.855,85.5,Highly Likely Approved,Approve
2785,2016.0,110.0,360.0,1.0,True,True,False,False,False,False,False,False,False,True,0.985,98.5,Highly Likely Approved,Approve
2014,1929.0,74.0,360.0,1.0,True,False,False,False,False,False,False,False,True,True,0.62,62.0,Moderately Likely Approved,Manual Review
3917,0.0,124.0,360.0,1.0,True,True,False,True,False,True,False,True,False,True,0.94,94.0,Highly Likely Approved,Approve
4166,3369.0,201.0,360.0,0.8421985815602837,True,True,True,False,False,False,False,False,True,False,0.745,74.5,Moderately Likely Approved,Manual Review
3166,2064.0,104.0,360.0,0.0,True,True,False,False,False,False,False,False,True,False,0.13,13.0,Low Approval Chance,Reject
3948,1733.0,149.0,360.0,0.0,True,True,False,False,False,False,False,False,False,False,0.16,16.0,Low Approval Chance,Reject
5000,0.0,103.0,360.0,0.0,False,False,False,False,False,False,False,True,False,False,0.16,16.0,Low Approval Chance,Reject
2769,1542.0,190.0,360.0,0.8421985815602837,True,False,True,False,False,True,True,True,False,False,0.72,72.0,Moderately Likely Approved,Manual Review
10000,0.0,214.0,360.0,1.0,False,False,False,False,False,False,False,True,False,False,0.81,81.0,Highly Likely Approved,Approve
1800,2934.0,93.0,360.0,0.0,True,True,False,False,False,True,False,False,True,False,0.21,21.0,Low Approval Chance,Reject
3400,0.0,95.0,360.0,1.0,False,False,False,False,False,True,False,False,False,False,0.64,64.0,Moderately Likely Approved,Manual Review
3208,3066.0,172.0,360.0,1.0,True,True,False,False,False,False,False,False,True,True,0.92,92.0,Highly Likely Approved,Approve
2281,0.0,113.0,360.0,1.0,True,True,False,True,False,True,False,False,False,False,0.75,75.0,Highly Likely Approved,Approve
3750,4750.0,176.0,360.0,1.0,True,False,False,False,False,False,False,False,True,False,0.92,92.0,Highly Likely Approved,Approve
7787,0.0,240.0,360.0,1.0,True,True,True,False,False,False,True,False,True,True,0.81,81.0,Highly Likely Approved,Approve
2787,1917.0,146.0,360.0,0.0,True,True,True,False,False,False,False,False,False,False,0.155,15.5,Low Approval Chance,Reject
6540,0.0,205.0,360.0,1.0,True,True,False,True,False,False,False,True,False,True,0.89,89.0,Highly Likely Approved,Approve
39999,0.0,600.0,180.0,0.0,True,True,False,False,True,False,False,True,False,True,0.275,27.5,Low Approval Chance,Reject
3717,2925.0,151.0,360.0,0.8421985815602837,True,True,True,False,False,False,False,True,False,False,0.705,70.5,Moderately Likely Approved,Manual Review
6633,0.0,146.41216216216216,360.0,0.0,True,True,False,True,False,False,True,False,False,False,0.25,25.0,Low Approval Chance,Reject
7142,0.0,138.0,360.0,1.0,False,True,False,False,False,True,True,False,False,True,0.6,60.0,Moderately Likely Approved,Manual Review
3100,1400.0,113.0,360.0,1.0,True,True,False,True,False,False,False,False,True,True,0.865,86.5,Highly Likely Approved,Approve
6000,0.0,156.0,360.0,1.0,False,False,False,False,False,False,False,False,True,True,0.78,78.0,Highly Likely Approved,Approve
3750,2083.0,120.0,360.0,1.0,False,False,False,True,False,False,False,True,False,True,0.91,91.0,Highly Likely Approved,Approve
16667,2250.0,86.0,360.0,1.0,True,True,True,False,False,False,True,True,False,True,0.88,88.0,Highly Likely Approved,Approve
5250,0.0,94.0,360.0,1.0,True,True,False,False,True,False,False,False,True,False,0.915,91.5,Highly Likely Approved,Approve
6033,0.0,160.0,360.0,1.0,True,True,False,False,False,True,False,False,True,False,0.67,67.0,Moderately Likely Approved,Manual Review
2720,0.0,80.0,342.0,0.0,False,False,False,False,False,True,False,False,True,False,0.165,16.5,Low Approval Chance,Reject
3103,1300.0,80.0,360.0,1.0,True,True,False,False,False,False,False,False,True,True,0.74,74.0,Moderately Likely Approved,Manual Review
4344,736.0,87.0,360.0,1.0,True,True,False,False,False,True,True,True,False,False,0.91,91.0,Highly Likely Approved,Approve
5042,2083.0,185.0,360.0,1.0,True,True,False,True,False,False,False,False,False,False,0.9,90.0,Highly Likely Approved,Approve
3167,4000.0,180.0,300.0,0.0,True,True,False,False,True,False,False,True,False,False,0.175,17.5,Low Approval Chance,Reject
2395,0.0,146.41216216216216,360.0,1.0,True,True,True,False,False,False,True,True,False,True,0.84,84.0,Highly Likely Approved,Approve
3510,4416.0,243.0,360.0,1.0,True,True,False,True,False,False,False,False,False,True,0.83,83.0,Highly Likely Approved,Approve
4945,0.0,146.41216216216216,360.0,0.0,True,True,True,False,False,False,False,False,False,False,0.33,33.0,Low Approval Chance,Reject
3180,0.0,71.0,360.0,0.0,False,False,False,False,False,False,False,False,True,False,0.165,16.5,Low Approval Chance,Reject
3500,0.0,81.0,300.0,1.0,True,False,False,False,False,False,False,True,False,True,0.745,74.5,Moderately Likely Approved,Manual Review
4333,2451.0,110.0,360.0,1.0,True,True,False,False,False,False,False,False,True,False,0.755,75.5,Highly Likely Approved,Approve
3159,461.0,108.0,84.0,1.0,True,True,False,True,False,False,False,False,True,True,0.805,80.5,Highly Likely Approved,Approve
6406,0.0,150.0,360.0,1.0,True,True,False,False,True,False,False,True,False,False,0.865,86.5,Highly Likely Approved,Approve
2378,0.0,9.0,360.0,1.0,False,False,False,False,False,False,False,False,True,False,0.64,64.0,Moderately Likely Approved,Manual Review
3816,754.0,160.0,360.0,1.0,True,True,False,False,False,False,False,False,True,True,0.865,86.5,Highly Likely Approved,Approve
5818,2160.0,184.0,360.0,1.0,True,True,False,False,False,False,True,True,False,True,0.875,87.5,Highly Likely Approved,Approve
3417,1750.0,186.0,360.0,1.0,True,True,True,False,False,False,False,False,True,True,0.87,87.0,Highly Likely Approved,Approve
2726,0.0,106.0,360.0,0.0,True,True,False,True,False,False,True,True,False,False,0.19,19.0,Low Approval Chance,Reject
2333,1516.0,95.0,360.0,1.0,True,True,False,False,False,True,False,False,True,True,0.885,88.5,Highly Likely Approved,Approve
20667,0.0,146.41216216216216,360.0,1.0,True,True,False,False,False,False,False,False,False,False,0.815,81.5,Highly Likely Approved,Approve
4000,7750.0,290.0,360.0,1.0,True,True,False,False,True,False,False,True,False,False,0.715,71.5,Moderately Likely Approved,Manual Review
6500,0.0,105.0,360.0,0.0,True,False,False,False,False,False,False,False,False,False,0.055,5.5,Low Approval Chance,Reject
1668,3890.0,201.0,360.0,0.0,True,True,False,False,False,True,False,True,False,False,0.205,20.5,Low Approval Chance,Reject
6325,0.0,175.0,360.0,1.0,True,True,True,False,False,False,False,True,False,True,0.775,77.5,Highly Likely Approved,Approve
3887,2669.0,162.0,360.0,1.0,True,True,False,False,False,False,False,True,False,True,0.89,89.0,Highly Likely Approved,Approve
2045,1619.0,101.0,360.0,1.0,True,True,False,True,False,False,False,False,False,True,0.785,78.5,Highly Likely Approved,Approve
2500,0.0,93.0,360.0,0.8421985815602837,False,False,False,False,False,False,True,False,True,True,0.785,78.5,Highly Likely Approved,Approve
3333,2000.0,99.0,360.0,0.8421985815602837,True,True,False,True,False,True,False,True,False,True,0.93,93.0,Highly Likely Approved,Approve
1916,5063.0,67.0,360.0,0.8421985815602837,True,False,False,False,False,False,False,False,False,False,0.705,70.5,Moderately Likely Approved,Manual Review
2980,2083.0,120.0,360.0,1.0,True,False,False,False,False,False,False,False,False,True,0.905,90.5,Highly Likely Approved,Approve
3927,800.0,112.0,360.0,1.0,True,True,False,False,False,False,False,True,False,True,0.98,98.0,Highly Likely Approved,Approve
2750,1842.0,115.0,360.0,1.0,True,True,True,False,False,False,False,True,False,True,0.89,89.0,Highly Likely Approved,Approve
3833,0.0,110.0,360.0,1.0,True,False,False,False,False,True,False,False,False,True,0.825,82.5,Highly Likely Approved,Approve
674,5296.0,168.0,360.0,1.0,True,True,False,False,False,False,True,False,False,True,0.74,74.0,Moderately Likely Approved,Manual Review
6083,4250.0,330.0,360.0,0.8421985815602837,True,True,True,False,False,False,False,False,True,True,0.745,74.5,Moderately Likely Approved,Manual Review
2309,1255.0,125.0,360.0,0.0,True,True,False,True,False,True,False,False,False,False,0.155,15.5,Low Approval Chance,Reject
2666,4300.0,121.0,360.0,1.0,True,True,False,False,False,False,False,False,False,True,0.92,92.0,Highly Likely Approved,Approve
4755,0.0,95.0,342.0,0.0,True,True,False,False,True,True,False,True,False,False,0.27,27.0,Low Approval Chance,Reject
3748,1668.0,110.0,360.0,1.0,True,False,False,False,False,True,False,True,False,True,0.93,93.0,Highly Likely Approved,Approve
2995,0.0,60.0,360.0,1.0,False,False,False,False,False,False,False,False,True,True,0.905,90.5,Highly Likely Approved,Approve
3812,0.0,112.0,360.0,1.0,False,False,True,False,False,False,False,False,False,True,0.635,63.5,Moderately Likely Approved,Manual Review
3200,2254.0,126.0,180.0,0.0,True,False,False,False,False,True,False,False,True,False,0.2,20.0,Low Approval Chance,Reject
3704,2000.0,120.0,360.0,1.0,True,True,False,False,False,False,False,False,False,True,0.895,89.5,Highly Likely Approved,Approve
5500,1260.0,170.0,360.0,1.0,True,True,True,False,False,False,False,False,False,True,0.835,83.5,Highly Likely Approved,Approve
2400,0.0,75.0,360.0,0.8421985815602837,True,True,False,False,False,False,False,False,True,True,0.55,55.0,Moderately Likely Approved,Manual Review
3902,1666.0,109.0,360.0,1.0,True,False,False,False,False,True,False,False,False,True,0.885,88.5,Highly Likely Approved,Approve
2500,3796.0,120.0,360.0,1.0,True,True,False,False,False,False,False,False,True,True,0.88,88.0,Highly Likely Approved,Approve
5568,2142.0,175.0,360.0,1.0,True,True,False,False,False,False,False,False,False,False,0.815,81.5,Highly Likely Approved,Approve
3716,0.0,42.0,180.0,1.0,True,True,False,False,False,False,False,False,False,True,0.605,60.5,Moderately Likely Approved,Manual Review
2507,0.0,56.0,360.0,1.0,False,False,False,False,False,False,False,False,False,True,0.54,54.0,Moderately Likely Approved,Manual Review
2882,1843.0,123.0,480.0,1.0,True,True,True,False,False,False,False,True,False,True,0.57,57.0,Moderately Likely Approved,Manual Review
2500,1840.0,109.0,360.0,1.0,True,True,False,True,False,False,False,False,True,True,0.83,83.0,Highly Likely Approved,Approve
63337,0.0,490.0,180.0,1.0,True,True,False,False,False,False,False,False,True,True,0.645,64.5,Moderately Likely Approved,Manual Review
